,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
1276,Escort GL 1.8i,96/96,Azul,Gasolina,77.847 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/ford/escort-gl-1-8i/96-96/1075224,JC Automóveis,"Av. Getulio Vargas, 174 - Centro - São Gabriel do Oeste / MS"
1277,Fiesta Hatch Personnalité 1.0 4p.,05/05,Prata,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-personnalit-1-0-4p/05-05/1086765,Trock Car Veículos,"Av. Marcelino Pires, 4660 - Vila Industrial - Dourados / MS"
1278,Fiesta Sedan 1.6,06/06,Branca,Flex,120.000 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-6/06-06/1076477,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS"
1279,Fiesta Sedan 1.6,04/04,Preta,Gasolina,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-6/04-04/1087466,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS"
1280,Fusca 1300,80/80,Azul,Gasolina,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/80-80/997803,Franca Automóveis,"Av. Costa e Silva, 3168 - Pioneiros - Campo Grande / MS"
1281,Fusca 1300,80/80,Branca,Gasolina,17.750 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/80-80/1087936,Procurocar Carros e Negócios,"Av. Salgado Filho, 987 - Amambaí - Campo Grande / MS"
1282,Gol 1.0 2p.,10/11,Vermelha,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/10-11/1083421,Stock Car ,"Av. Weimar Gonçalves Torres, 4795 - Centro - Dourados / MS"
1283,Gol 1.0 2p.,03/04,Prata,Gasolina,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/03-04/1082450,Veículos Vô Pacheco,"Av. Quatro, 675 - Centro - Chapadão do Sul / MS"
1284,Gol Trend 1.0 2p.,06/07,Vermelha,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-2p/06-07/1050987,Eurocar Veículos,"Av. Europa, 811 - Taquarussu - Campo Grande / MS"
1285,Ka 1.0,08/09,Branca,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/08-09/1045612,Emotors,"Av. Afonso Pena, 470 - Amambaí - Campo Grande / MS"
1286,Logan Expression 1.0 16v,08/08,Azul,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/renault/logan-expression-1-0-16v/08-08/1089087,JB Motors,"Av. Bandeirantes, 3215 - Nova Bandeirantes - Campo Grande / MS"
1287,Palio 1.0 Fire 4p.,04/04,Prata,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/04-04/1089088,JB Motors,"Av. Bandeirantes, 3215 - Nova Bandeirantes - Campo Grande / MS"
1288,Palio ELX 1.0 4p.,04/05,Branca,Gasolina,97.000 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-4p/04-05/1087603,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS"
1289,QQ 1.1 16v,11/12,Preta,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/chery/qq-1-1-16v/11-12/1080089,Jessi-Car,"Av. Bandeirantes, 909 - Amambai - Campo Grande / MS"
1290,Scenic RT 1.6 16v,02/03,Branca,Gasolina,229.000 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/renault/scenic-rt-1-6-16v/02-03/1064184,Federal Car 2," Av. Bandeirantes, 3006 - Nova Bandeirantes - Campo Grande / MS"
1291,Uno Mille 1.0 Fire 2p.,06/06,Branca,Flex,113.000 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-2p/06-06/1082576,JP Automóveis,"Av. Bandeirantes, 2011 - Taquarussu - Campo Grande / MS"
1292,Uno Mille 1.0 Fire 4p.,08/08,Cinza,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/08-08/1081030,JP Automóveis,"Av. Bandeirantes, 2011 - Taquarussu - Campo Grande / MS"
1293,Uno Mille 1.0 Fire 4p.,05/05,Branca,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/05-05/1088615,União Automóveis,"Av. das Bandeiras, 950  - Jockey Club - Campo Grande / MS"
1294,Uno Mille 1.0 Fire 4p.,01/02,Cinza,Flex,Não disponível,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/01-02/1085959,Potencia Veículos,"Rua Hayel Bon Faker, 730 - Jardim Água Boa - Dourados / MS"
1295,Uno Mille Eletronic 1.0 4p.,94/94,Cinza,Gasolina,258.064 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-eletronic-1-0-4p/94-94/1088430,V3 Veículos,"Av. Fabio Zahran, 1244 - Vila Srg. Amaral - Campo Grande / MS"
1296,Variant 1600,72/72,Vermelha,Gasolina,50.000 Km,"R$ 13.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/variant-1600/72-72/1058470,Procurocar Carros e Negócios,"Av. Salgado Filho, 987 - Amambaí - Campo Grande / MS"
1297,Strada LX 1.6 16v C.E.,99/00,Cinza,Gasolina,Não disponível,"R$ 13.990,00",https://www.shopcar.com.br/veiculos/fiat/strada-lx-1-6-16v-c-e/99-00/1073621,Odi Car Veículos,"Av. Coronel Antonino, 352 - Coronel Antonino - Campo Grande / MS"
1298,147,86/86,Amarela,Gasolina,Não disponível,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/fiat/147/86-86/1078827,MultCar Veículos,"Av. Antonio Joaquim de Moura Andrade, 991 - Centro - Nova Andradina / MS"
1299,C4 Picasso 2.0 16v,08/08,Dourada,Gasolina,Não disponível,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/citro-n/c4-picasso-2-0-16v/08-08/1069148,Star Motors,"Av. Nosso Senhor do Bomfim, 2471 - Parque Novos Estados  - Campo Grande / MS"
1300,Corcel,74/74,Vermelha,Gasolina,Não disponível,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/ford/corcel/74-74/1088034,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS"
1301,Corsa Sedan Super 1.6,03/03,Prata,Gasolina,Não disponível,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-super-1-6/03-03/1088598,Seicar Veículos,"Av. Bandeirantes, 2878 - Nova Bandeirantes - Campo Grande / MS"
1302,Fiesta Hatch Street 1.0 4p.,05/06,Branca,Gasolina,109.000 Km,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-street-1-0-4p/05-06/1084517,Destak Veículos,"Av: Paulo Corrêa da Costa, 739 - Vila Jussara - Campo Grande / MS"
1303,Gol 1.0 2p.,00/01,Cinza,Gasolina,117.128 Km,"R$ 14.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/00-01/1078460,Rey Car Veículos,"Av. Presidente Vargas, 4090 - Centro - Aparecida do Taboado / MS"
1304,Fiesta Hatch Personnalité 1.0 4p.,05/05,Branca,Gasolina,150.000 Km,"R$ 14.300,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-personnalit-1-0-4p/05-05/1088132,Acácia Veículos,"Rua João Pedro de Souza, 260 - Monte Líbano - Campo Grande / MS"
1305,Omega GLS 2.2,95/95,Verde,Gasolina,181.000 Km,"R$ 14.300,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/omega-gls-2-2/95-95/1072361,Edson Rodrigues Martins Júnior,Costa Rica - MS
1306,Courier 1.3i,98/98,Vermelha,Gasolina,Não disponível,"R$ 14.400,00",https://www.shopcar.com.br/veiculos/ford/courier-1-3i/98-98/1086858,Taira Veículos,"Rua Rui Barbosa, 1723 - Vila Glória - Campo Grande / MS"
1307,Gol 1.0 2p.,04/04,Cinza,Gasolina,Não disponível,"R$ 14.490,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/04-04/1042790,Diniz Automóveis,"Av. Marcelino Pires, 6038 - Vila Industrial - Dourados / MS"
1308,Brasilia 1600,75/76,Azul,Gasolina,79.000 Km,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/brasilia-1600/75-76/1087912,César Leandro Azevedo de Matos,Campo Grande - MS
1309,Celta 1.0 4p.,03/04,Prata,Gasolina,208.200 Km,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-1-0-4p/03-04/1069537,Finauto Veículos,"Rua Antonio de Souza Marcondes, 2800 - Centro - Maracaju / MS"
1310,Corsa Hatch Maxx 1.8 4p.,02/02,Prata,Gasolina,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-maxx-1-8-4p/02-02/1023328,Fábio Despachante & Veículos,"Av. Salgado Filho, 1176 - Amambaí - Campo Grande / MS"
1311,Corsa Sedan 1.0,02/03,Verde,Gasolina,153.000 Km,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-1-0/02-03/1080493,Raulino Automóveis,"Av. Mascarenhas de Moraes, 3273 - Monte Castelo - Campo Grande / MS"
1312,Corsa Sedan Classic 1.0,02/03,Cinza,Gasolina,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-1-0/02-03/1079448,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS"
1313,Fiesta Hatch Personnalité 1.0 4p.,04/05,Verde,Gasolina,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-personnalit-1-0-4p/04-05/1059700,Nova Era Veículos II,"Av. Hayel Bon Faker, 433 - Jardim Raslem - Dourados / MS"
1314,Gol 1.0 4p.,09/09,Branca,Flex,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/09-09/1084476,BR Veículos,"Av. Salgado Filho, 1845 - Vila Carvalho - Campo Grande / MS"
1315,Gol 1.0 4p.,01/02,Prata,Gasolina,281.000 Km,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/01-02/1083130,Majestik Motors,"Rua. Guia Lopes, 348 - Amambaí - Campo Grande / MS"
1316,Monza GLS 2.0,95/95,Cinza,Gasolina,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/monza-gls-2-0/95-95/1067360,Automais Veículos,"Av. Tamandaré, 1294 - Vila Planalto - Campo Grande / MS"
1317,Siena EX 1.0 16v,01/01,Azul,Gasolina,Não disponível,"R$ 14.500,00",https://www.shopcar.com.br/veiculos/fiat/siena-ex-1-0-16v/01-01/1018045,SA Veículos 1,"Av. Manoel da Costa Lima, 665 - Ipiranga - Campo Grande / MS"
1318,Celta Life 1.0 2p.,09/09,Prata,Flex,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-2p/09-09/1060601,Brilhante Automóveis,"Av. Brilhante, 2197 - Vila Bandeirante - Campo Grande / MS"
1319,Gol Power 1.0 4p.,01/02,Azul,Gasolina,125.000 Km,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-power-1-0-4p/01-02/1065167,Marreco Veículos,"Rua Amazonas, 1237 - Centro - Campo Grande / MS"
1320,Meriva 1.8,02/03,Branca,Gasolina,147.300 Km,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/meriva-1-8/02-03/1015228,Vision Automóveis,"Av. Coronel Antonino, 995 - Coronel Antonino - Campo Grande / MS"
1321,Uno Mille 1.0 Fire 2p.,08/08,Vermelha,Flex,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-2p/08-08/1089800,Santana Veículos,"Av. Duque de Caxias, 5012 - Vila Eliane - Campo Grande / MS"
1322,Uno Mille 1.0 Fire 4p.,05/05,Cinza,Gasolina,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/05-05/1075087,Marreco Veículos,"Rua Amazonas, 1237 - Centro - Campo Grande / MS"
1323,Uno Mille 1.0 Fire 4p.,04/04,Branca,Gasolina,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/04-04/1082176,JG Veículos,"Rua Ediberto Celestino de Oliveira, 1865 - Vila Lili - Dourados / MS"
1324,Uno Mille Economy 1.0 Fire 2p.,05/06,Prata,Flex,Não disponível,"R$ 14.800,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-2p/05-06/1070650,Alvorada Veículos,"Av. Capitão Olinto Mancini, 2960 - Jardim Alvorada - Três Lagoas / MS"
1325,A 160 Classic 1.6,04/05,Preta,Gasolina,172.400 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/mercedes-benz/a-160-classic-1-6/04-05/1090307,RWR Multimarcas,"Av. Capitão Olinto Mancini, 4314 - Parque das Mangueiras - Três Lagoas / MS"
1326,Astra Hatch 2.0 2p.,02/02,Vermelha,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-hatch-2-0-2p/02-02/1014790,Vip Veículos,"Rua Joaquim Murtinho, 2980 - Vila Almeida Lima - Campo Grande / MS"
1327,Astra Sedan GL 1.8,00/01,Branca,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/astra-sedan-gl-1-8/00-01/1076151,Marvi Automóveis,"Av. Hayel Bon Faker, 901 - Jardim Água Boa - Dourados / MS"
1328,Celta Life 1.0 2p.,10/11,Branca,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-2p/10-11/1087087,Só Veículos,"Rua Santo Ângelo, 101 - Cel. Antonino - Campo Grande / MS"
1329,Celta Life 1.0 2p.,07/07,Preta,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-2p/07-07/1078007,Sanauto Automóveis,"Rua Ceára, 1206 - Jardim dos Estados - Campo Grande / MS"
1330,Celta Life 1.0 2p.,06/07,Preta,Flex,106.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-2p/06-07/1085048,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS"
1331,Celta Life 1.0 4p.,08/08,Cinza,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-life-1-0-4p/08-08/1082556,Auto Flex Veículos,"Av. Weimar G. Torres, 3192 - Centro - Dourados / MS"
1332,Celta Spirit 1.0 2p.,06/07,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-spirit-1-0-2p/06-07/1080968,V6 Automóveis,"Av. Joaquim Teixeira Alves, 2848 - Centro - Dourados / MS"
1333,Celta Super 1.0 2p.,03/04,Azul,Gasolina,168.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-super-1-0-2p/03-04/1082691,MP Automóveis,"Rua Cachara, 25 - Alto da Boa Vista - Campo Grande / MS"
1334,Celta Super 1.0 4p.,03/04,Prata,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-super-1-0-4p/03-04/1081942,LS Veículos,"Av. Weimar Gonçalves Torres, 3701 - Centro - Dourados / MS"
1335,Civic LX 1.7 16v,01/01,Preta,Gasolina,151.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/honda/civic-lx-1-7-16v/01-01/832881,Mclaren Automóveis,"Av. Bandeirantes, 1246 - Vila Bandeirante - Campo Grande / MS"
1336,Clio Hatch Authentique 1.0 16v 4p.,08/09,Bege,Flex,200.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/renault/clio-hatch-authentique-1-0-16v-4p/08-09/1079456,Mclaren Automóveis,"Av. Bandeirantes, 1246 - Vila Bandeirante - Campo Grande / MS"
1337,Clio Sedan Privilège 1.0 16v,04/05,Prata,Gasolina,142.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/renault/clio-sedan-privil-ge-1-0-16v/04-05/1080379,Domenico Motors,"Av. Rodolfo José Pinho, 539 - Jardim São Bento - Campo Grande / MS"
1338,Corsa Hatch Wind 1.6 4p.,01/01,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-wind-1-6-4p/01-01/1089068,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS"
1339,Corsa Hatch Wind 1.6 4p.,01/01,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-wind-1-6-4p/01-01/1090500,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS"
1340,Corsa Sedan Classic Life 1.0,06/07,Bege,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/06-07/1075411,Fernando Automóveis,"Av. Marcelino Pires, 4645 - Vila Industrial - Dourados / MS"
1341,Corsa Sedan Classic Life 1.0,06/06,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/06-06/1087286,Centro Car Veículos,"Av. Coronel Ponciano, 2500 - Vila Industrial - Dourados / MS"
1342,Fiesta Hatch 1.0 4p.,09/09,Branca,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-0-4p/09-09/1074311,Start Veículos Loja 2,"Rua São Borja, 441 - Vila Rica - Campo Grande / MS"
1343,Fox 1.0 2p.,07/07,Vermelha,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-0-2p/07-07/1052440,JT Veículos,"Av. Bandeirantes, 2806 - Nova Bandeirantes - Campo Grande / MS"
1344,Fox Route 1.0 2p.,07/08,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-route-1-0-2p/07-08/1079099,MultCar Veículos,"Av. Antonio Joaquim de Moura Andrade, 991 - Centro - Nova Andradina / MS"
1345,Gol 1.0 2p.,05/06,Branca,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/05-06/1076502,Vip Veículos,"Rua Joaquim Murtinho, 2980 - Vila Almeida Lima - Campo Grande / MS"
1346,Gol City 1.0 2p.,09/10,Prata,Flex,114.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-city-1-0-2p/09-10/1079946,Duda Veículos,"Av. Padre José Daniel, 1070 - Centro - Vicentina / MS"
1347,Gol GL 1.8,91/91,Cinza,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-gl-1-8/91-91/1083768,Moura Automóveis,"Rua Hayel Bon Faker, 1588 - Jardim Água Boa - Dourados / MS"
1348,Gol Special 1.0 2p.,00/00,Vermelha,Flex,158.609 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-special-1-0-2p/00-00/1081381,Procurocar Carros e Negócios,"Av. Salgado Filho, 987 - Amambaí - Campo Grande / MS"
1349,Ka 1.0,04/04,Preta,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/04-04/1057848,JP Automóveis,"Av. Bandeirantes, 2011 - Taquarussu - Campo Grande / MS"
1350,Meriva 1.8,04/04,Preta,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/meriva-1-8/04-04/995989,Vision Automóveis,"Av. Coronel Antonino, 995 - Coronel Antonino - Campo Grande / MS"
1351,Monza GLS 2.0,95/95,Cinza,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/monza-gls-2-0/95-95/1063448,Edmilson Amaral da Rosa,Campo Grande - MS
1352,Palio 1.0 Fire 4p.,06/07,Chumbo,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/06-07/1088599,Seicar Veículos,"Av. Bandeirantes, 2878 - Nova Bandeirantes - Campo Grande / MS"
1353,Polo Hatch 1.6,02/03,Prata,Gasolina,300.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/polo-hatch-1-6/02-03/1041951,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS"
1354,Santana 1.8,03/03,Cinza,Gasolina,230.000 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/santana-1-8/03-03/1035687,JM Automóveis,"Rua Dona Ambrosina, 68 - Jardim dos Estados - Campo Grande / MS"
1355,Scenic Privilège 1.6 16v,04/04,Prata,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/renault/scenic-privil-ge-1-6-16v/04-04/986138,Cortez Veículos,"Av. Bandeirantes, 2150 - Vila Bandeirantes - Campo Grande / MS"
1356,Uno Mille 1.0 Fire 2p.,07/08,Branca,Flex,132.900 Km,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-2p/07-08/1084044,GTR Automóveis,"Av. Presidente Vargas, 700 - Centro - Caarapó / MS"
1357,Uno Mille 1.0 Fire 2p.,05/06,Prata,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-2p/05-06/1081870,Vip Veículos,"Rua Joaquim Murtinho, 2980 - Vila Almeida Lima - Campo Grande / MS"
1358,Uno Mille 1.0 Fire 4p.,09/10,Branca,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/09-10/1079364,BSG Veículos,"Av. Cel. Antonino, 2053 - Conj. Res. Estrela do Sul - Campo Grande / MS"
1359,Uno Mille 1.0 Fire 4p.,06/06,Verde,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/06-06/905037,Vip Veículos,"Rua Joaquim Murtinho, 2980 - Vila Almeida Lima - Campo Grande / MS"
1360,Uno Mille 1.0 Fire 4p.,04/04,Azul,Gasolina,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-mille-1-0-fire-4p/04-04/1081927,LS Veículos,"Av. Weimar Gonçalves Torres, 3701 - Centro - Dourados / MS"
1361,Voyage Sport 1.8,93/94,Preta,Flex,Não disponível,"R$ 14.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-sport-1-8/93-94/1045886,Via Car,"Av Bandeirantes, 2991 - Vila Bandeirantes - Campo Grande / MS"
1362,Fusca 1600,94/95,Branca,Gasolina,Não disponível,"R$ 14.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1600/94-95/1048740,Prime Veículos,"Av. Pres. Ernesto Geisel, 5721 - Cabreúva - Campo Grande / MS"
1363,Fusca 1600,85/85,Branca,Gasolina,76.900 Km,"R$ 14.990,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1600/85-85/1081967,Teca Automóveis,"Rua 13 de Maio, 3843 - Centro - Campo Grande / MS"
1364,206 Feline 1.4 4p.,08/08,Preta,Flex,161.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/peugeot/206-feline-1-4-4p/08-08/1078336,V-CAR multimarcas,"Rua Ipitanga, 314 - Parque Novos Estados - Campo Grande / MS"
1365,207 XR 1.4 4p.,08/09,Preta,Flex,137.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/peugeot/207-xr-1-4-4p/08-09/1088401,Lucas de Souza Costa,Campo Grande - MS
1366,Civic LX 1.6 16v,00/00,Prata,Gasolina,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/honda/civic-lx-1-6-16v/00-00/1089071,Loja do Carro,"Av. Presidente Ernesto Geisel, 5511 - Centro - Campo Grande / MS"
1367,Civic LX 1.6 16v A/T,00/00,Prata,Gasolina,128.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/honda/civic-lx-1-6-16v/00-00/1073038,Carlos L. Stumpo,Campo Grande - MS
1368,Corcel,83/83,Azul,Etanol,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/ford/corcel/83-83/1068960,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS"
1369,Corsa Hatch 1.0 4p.,02/03,Prata,Gasolina,165.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-hatch-1-0-4p/02-03/1087442,JD Veículos,"Rua Ana Neri, 63 - Granja - Ponta Porã / MS"
1370,Corsa Sedan Classic Life 1.0,06/07,Prata,Flex,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-life-1-0/06-07/1058208,Ted Automóveis,"Av. Nicolau Otano, 1427 - Centro - Amambaí / MS"
1371,Fusca 1300,83/83,Verde,Gasolina,100.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/83-83/1074398,Avenor Bim,Jardim - MS
1372,Fusca 1300,77/77,Rosa,Gasolina,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300/77-77/1027033,Negócios Veículos,"Rua Ceará, 1969 - Vila Célia - Campo Grande / MS"
1373,Fusca 1300 L,79/79,Branca,Gasolina,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/79-79/1019801,JP Veículos,"Rua Bela Vista, 1755 - Jardim Água Boa - Dourados / MS"
1374,Fusca 1500,85/85,Verde,Gasolina,847.007 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1500/85-85/1074461,Auto Car Multimarcas,"Rua Dinamarca, 52 - Centro - Naviraí / MS"
1375,Fusca 1600,86/86,Azul,Gasolina,Não disponível,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1600/86-86/1044325,Ueno Veículos,"Av. Weimar G. Torres, 3500 - Centro - Dourados / MS"
1376,Fusca 1600,84/84,Branca,Gasolina,88.940 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1600/84-84/1042921,Auto Car Multimarcas,"Rua Dinamarca, 52 - Centro - Naviraí / MS"
1377,Gol 1.0 2p.,07/08,Branca,Flex,21.000 Km,"R$ 15.000,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-2p/07-08/1058781,Jose Everaldo Souza,Campo Grande - MS
