,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
6196,C 180 1.6 16v Kompressor A/T,10/10,Prata,Gasolina,203.313 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/mercedes-benz/c-180-1-6-16v-kompressor/10-10/1082123,SF Carros e Camionetas,"Rua Joaquim Murtinho, 2121 - Itanhangá Park - Campo Grande / MS"
6197,C3 Hatch Exclusive 1.6 16v,17/18,Vermelha,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-6-16v/17-18/1090437,Seminovos Grupo Enzo,"Av. Costa e Silva, 405 - 1° andar - Vila Progresso - Campo Grande / MS"
6198,Civic LXL 1.8 16v A/T,12/12,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/honda/civic-lxl-1-8-16v/12-12/1087048,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS"
6199,Cobalt LT 1.4,17/17,Prata,Flex,67.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-lt-1-4/17-17/1062334,Auto Car Veículos,"Av. Bandeirantes, 1383 - Vila Bandeirantes - Campo Grande / MS"
6200,Cobalt LT 1.4,16/17,Prata,Flex,49.490 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cobalt-lt-1-4/16-17/1064585,Estilo Car Veículos,"Av. Bandeirantes, 1366 - Vila Bandeirantes - Campo Grande / MS"
6201,Corolla GLi 1.8 16v A/T,10/11,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/toyota/corolla-gli-1-8-16v/10-11/1051827,Auto Flex Veículos,"Av. Weimar G. Torres, 3192 - Centro - Dourados / MS"
6202,Corolla XEi 2.0 16v A/T,10/11,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/toyota/corolla-xei-2-0-16v/10-11/1080345,Via Premium Motors,"Weimar Gonçalves Torres, 5155 - Jardim Guanabara - Dourados / MS"
6203,Corolla XEi 2.0 16v A/T,10/11,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/toyota/corolla-xei-2-0-16v/10-11/1088174,RJ Automóveis,"Av. Dom Pedro II, 819 - Centro - Caarapó / MS"
6204,Cruze LT 1.8 16v,13/14,Prata,Flex,86.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cruze-lt-1-8-16v/13-14/1066581,Revolução Automóveis,"Rua Brilhante, 1925 - Nova Bandeirante - Campo Grande / MS"
6205,Cruze LT 1.8 16v A/T,11/12,Prata,Gasolina,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/cruze-lt-1-8-16v/11-12/1081934,LS Veículos,"Av. Weimar Gonçalves Torres, 3701 - Centro - Dourados / MS"
6206,Dakota Sport 3.9 V6 C.E.,99/00,Azul,Gasolina,108.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/dodge/dakota-sport-3-9-v6-c-e/99-00/979822,Brum Negócios,"Av. Coronel Pilad Rebuá, 181 - Vila Donária - Bonito / MS"
6207,Duster Dynamique 2.0 16v A/T,14/14,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/renault/duster-dynamique-2-0-16v/14-14/1080268,Jetta Veículos,"Av. Bandeirantes, 3107 - Amambaí - Campo Grande / MS"
6208,Duster Tech Road 2.0 16v A/T,14/15,Prata,Flex,66.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/renault/duster-tech-road-2-0-16v/14-15/1067233,V2 Automóveis,"Av. Bandeirantes, 1955 - Taquarussu - Campo Grande / MS"
6209,EcoSport Freestyle 2.0 16v PowerShift,15/15,Prata,Flex,70.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/ford/ecosport-freestyle-2-0-16v-powershift/15-15/1068150,Giga Veículos,"Av. Weimar Gonçalves Torres, 2989 - Centro - Dourados / MS"
6210,EcoSport SE 1.6 16v,14/15,Preta,Flex,99.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/ford/ecosport-se-1-6-16v/14-15/1085040,Vincar Automóveis,"Av. Bandeirantes, 2295 - Nova Bandeirantes - Campo Grande / MS"
6211,EcoSport SE 2.0 16v PowerShift,15/15,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/ford/ecosport-se-2-0-16v-powershift/15-15/1086601,Rudinei Veículos,"Av. Joaquim Teixeira Alves, 1194 - Centro - Dourados / MS"
6212,EcoSport Titanium 2.0 16v PowerShift A/T,14/15,Prata,Flex,Não disponível,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/ford/ecosport-titanium-2-0-16v-powershift/14-15/1074030,Premium Auto Car,"Av. Ricardo Brandão, 778 - Itanhangá Park - Campo Grande / MS"
6213,EcoSport Titanium 2.0 16v PowerShift A/T,14/14,Branca,Flex,78.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/ford/ecosport-titanium-2-0-16v-powershift/14-14/1088634,Eduardo Paulino Veículos ,"Rua Teodoro Rondon, 260 - Centro - Aquidauana / MS"
6214,Etios Hatch XS 1.5 16v A/T,17/18,Cinza,Flex,95.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/toyota/etios-hatch-xs-1-5-16v/17-18/1082232,Davi Automóveis,"Av. Bandeirantes, 338 - Amambai - Campo Grande / MS"
6215,Fit LX 1.5 16v A/T,15/15,Cinza,Flex,77.800 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/honda/fit-lx-1-5-16v/15-15/1078664,Joca Veículos,"Av. Bandeirantes, 1229 - Vila Bandeirantes - Campo Grande / MS"
6216,Fit Twist 1.5 16v,14/14,Cinza,Flex,115.339 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/honda/fit-twist-1-5-16v/14-14/1085395,Kampai,"Av. Joaquim Murtinho, 2525 - Chacara Cachoeira - Campo Grande / MS"
6217,Fluence Dynamique 2.0 16v A/T,15/16,Preta,Flex,30.000 Km,"R$ 49.900,00",https://www.shopcar.com.br/veiculos/renault/fluence-dynamique-2-0-16v/15-16/1080411,Black Motors,"Rua Cabral, 1121 - Centro - Corumbá / MS"
