Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1084801,Palio ELX 1.4 4p.,Cinza,Flex,110000.0,23500.0,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-4-4p/09-10/1084801,M.G.R. Veículos,"Av. Afonso Pena, 3865 - Centro - Campo Grande / MS",2009,2010, MS,"Av. Afonso Pena, 3865 ", Centro , Campo Grande ,fiat,10/06/2021
1090251,Prisma Maxx 1.4,Prata,Flex,,23500.0,https://www.shopcar.com.br/veiculos/gm-chevrolet/prisma-maxx-1-4/09-10/1090251,JP Automóveis,"Av. Bandeirantes, 2011 - Taquarussu - Campo Grande / MS",2009,2010, MS,"Av. Bandeirantes, 2011 ", Taquarussu , Campo Grande ,gm-chevrolet,10/06/2021
1078651,Siena 1.0 Fire,Branca,Flex,,23500.0,https://www.shopcar.com.br/veiculos/fiat/siena-1-0-fire/08-08/1078651,TJ Garage,Rua Dr. Coutinho 1241 - Centro - Caarapó / MS,2008,2008, MS,Rua Dr. Coutinho 1241 , Centro , Caarapó ,fiat,10/06/2021
1059747,Tiida Sedan 1.8 16v,Prata,Flex,,23500.0,https://www.shopcar.com.br/veiculos/nissan/tiida-sedan-1-8-16v/11-12/1059747,Seven Veículos,"Rua Pedro Celestino, 20 - Monte Líbano - Campo Grande / MS",2011,2012, MS,"Rua Pedro Celestino, 20 ", Monte Líbano , Campo Grande ,nissan,10/06/2021
1083935,Uno Mille Economy 1.0 Fire 4p.,Azul,Flex,,23500.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-4p/12-13/1083935,Brilha Car,"Rua Brilhante, 2894 - Vila Bandeirante - Campo Grande / MS",2012,2013, MS,"Rua Brilhante, 2894 ", Vila Bandeirante , Campo Grande ,fiat,10/06/2021
1085631,Uno Mille Economy 1.0 Fire 4p.,Prata,Flex,,23500.0,https://www.shopcar.com.br/veiculos/fiat/uno-mille-economy-1-0-fire-4p/12-13/1085631,Bandi Car Veículos,"Av. Bandeirantes, 1878 - Taquarussu - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 1878 ", Taquarussu , Campo Grande ,fiat,10/06/2021
1073471,Uno Vivace 1.0 4p.,Branca,Flex,,23500.0,https://www.shopcar.com.br/veiculos/fiat/uno-vivace-1-0-4p/10-11/1073471,ARS Automóveis,"Av. Bandeirantes, 1494 - Vila Bandeirante - Campo Grande / MS",2010,2011, MS,"Av. Bandeirantes, 1494 ", Vila Bandeirante , Campo Grande ,fiat,10/06/2021
1060211,Uno Way 1.0 4p.,Cinza,Flex,,23500.0,https://www.shopcar.com.br/veiculos/fiat/uno-way-1-0-4p/10-11/1060211,Auto + Veículos,"Av. Hayel Bon Faker, 1300 - Jardim Água Boa - Dourados / MS",2010,2011, MS,"Av. Hayel Bon Faker, 1300 ", Jardim Água Boa , Dourados ,fiat,10/06/2021
1071479,Uno Way 1.0 4p.,Bege,Flex,160000.0,23500.0,https://www.shopcar.com.br/veiculos/fiat/uno-way-1-0-4p/10-11/1071479,Vip Car Veículos,"R. Estevão Alves Correia, 1111 - Alto - Aquidauana / MS",2010,2011, MS,"R. Estevão Alves Correia, 1111 ", Alto , Aquidauana ,fiat,10/06/2021
1089126,Gol Trend 1.0 4p.,Branca,Flex,112650.0,23501.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/10-11/1089126,2R Veículos,"Rua Antônio Corrêa, 2015 - Jardim Paulista - Campo Grande / MS",2010,2011, MS,"Rua Antônio Corrêa, 2015 ", Jardim Paulista , Campo Grande ,vw-volkswagen,10/06/2021
