,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade
5430,S10 Colina 2.8TD C.S.,06/06,Branca,Diesel,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-colina-2-8td-c-s/06-06/1090253,Maninho Veículos,"Av. Dr. Euler de Azevedo, 665 - São Francisco - Campo Grande / MS"
5431,S10 DLX 2.8TD C.D.,01/01,Preta,Diesel,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/s10-dlx-2-8td-c-d/01-01/1089418,Junior Veículos,"Av. Calógeras, 302 - Centro - Campo Grande / MS"
5432,Saveiro Cross 1.6 C.E.,12/13,Prata,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-cross-1-6-c-e/12-13/1048737,Planalto Veículos,"Av. Tamandaré, 456 - Vila Planalto - Campo Grande / MS"
5433,Saveiro Cross 1.6 C.E.,12/13,Prata,Flex,119.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-cross-1-6-c-e/12-13/1073871,Matozo Automóveis,"Rua Hayel Bon Faker, 1804 - Jardim Água Boa - Dourados / MS"
5434,Saveiro Robust 1.6 C.S.,17/18,Preta,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/saveiro-robust-1-6-c-s/17-18/1079923,Dig Automóveis,"Av. Dorvalino dos Santos, 400 - Centro - Sidrolândia / MS"
5435,Strada Adventure 1.8 16v C.D.,12/13,Cinza,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/fiat/strada-adventure-1-8-16v-c-d/12-13/1077862,Alan Veículos,"Av. Hayel Bon Faker, 955 - Jardim Água Boa - Dourados / MS"
5436,Strada Adventure 1.8 16v C.D.,12/13,Branca,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/fiat/strada-adventure-1-8-16v-c-d/12-13/1089152,P12 Motors,"Av. Manoel da Costa Lima, 2172 - Piratininga - Campo Grande / MS"
5437,Strada Adventure 1.8 16v C.E.,13/13,Prata,Flex,Não disponível,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/fiat/strada-adventure-1-8-16v-c-e/13-13/1087107,Top Car Seminovos,"Av. Hayel Bon Faker, 625 - Jardim Água Boa - Dourados / MS"
5438,Uno Attractive 1.0 4p.,19/20,Vermelha,Gasolina,29.500 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/fiat/uno-attractive-1-0-4p/19-20/1069922,Agape Auto Car,"Av. Dr. Nasri Siufi, 2047 - Tijuca 2 - Campo Grande / MS"
5439,Up! Cross 1.0 12v TSi 4p.,16/16,Branca,Flex,120.000 Km,"R$ 43.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/up-cross-1-0-12v-tsi-4p/16-16/1086312,BM Motors,"Avenida Presidente Ernesto Geisel, 6103 - Cabreuva - Campo Grande / MS"
