Id_Anuncio_ShopCar,Unnamed: 0,Modelo,Ano,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca
1061140,4510,Fiesta Hatch S 1.5 16v,14/14,Branca,Flex,101000.0,37900.0,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-s-1-5-16v/14-14/1061140,Podium Veículos," Av. Salgado Filho, 1717 - Vila Carvalho - Campo Grande / MS",2014,2014, MS," Av. Salgado Filho, 1717 ", Vila Carvalho , Campo Grande ,ford
1085665,4511,Fit LXL 1.4 16v,11/12,Preta,Flex,77500.0,37900.0,https://www.shopcar.com.br/veiculos/honda/fit-lxl-1-4-16v/11-12/1085665,Dois Irmãos Automóveis,"Rua Rachid Neder, 401 - Monte Castelo - Campo Grande / MS",2011,2012, MS,"Rua Rachid Neder, 401 ", Monte Castelo , Campo Grande ,honda
1087403,4512,Fit LXL 1.4 16v,10/11,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/honda/fit-lxl-1-4-16v/10-11/1087403,Grancar Veículos,"Av. Bandeirantes, 2313 - Guanandi - Campo Grande / MS",2010,2011, MS,"Av. Bandeirantes, 2313 ", Guanandi , Campo Grande ,honda
1088933,4513,Fluence Dynamique 2.0 16v A/T,12/13,Branca,Flex,,37900.0,https://www.shopcar.com.br/veiculos/renault/fluence-dynamique-2-0-16v/12-13/1088933,Mega Automóveis,"Av. Bandeirantes, 1177 - Amambaí - Campo Grande / MS",2012,2013, MS,"Av. Bandeirantes, 1177 ", Amambaí , Campo Grande ,renault
1088560,4514,Fox Trendline 1.0 4p.,15/16,Branca,Flex,55000.0,37900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-trendline-1-0-4p/15-16/1088560,Jorge Bourdokan,Campo Grande - MS,2015,2016,,Campo Grande , MS,,vw-volkswagen
1084422,4515,Fusion 2.5 16v A/T,10/11,Preta,Gasolina,156548.0,37900.0,https://www.shopcar.com.br/veiculos/ford/fusion-2-5-16v/10-11/1084422,Premium Auto Car,"Av. Ricardo Brandão, 778 - Itanhangá Park - Campo Grande / MS",2010,2011, MS,"Av. Ricardo Brandão, 778 ", Itanhangá Park , Campo Grande ,ford
1085285,4516,Gol 1.6 4p.,15/16,Prata,Flex,,37900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-6-4p/15-16/1085285,Aliança Veículos (Dourados),"Rua Hayel Bon faker, 798 - Jardim Água Boa - Dourados / MS",2015,2016, MS,"Rua Hayel Bon faker, 798 ", Jardim Água Boa , Dourados ,vw-volkswagen
1087851,4517,Gol City 1.0 4p.,16/16,Preta,Flex,16800.0,37900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-city-1-0-4p/16-16/1087851,SA Veículos 2,"Rua Caramuru, 953 - Guanandy - Campo Grande / MS",2016,2016, MS,"Rua Caramuru, 953 ", Guanandy , Campo Grande ,vw-volkswagen
1083621,4518,Gol Comfortline 1.6 4p.,13/14,Branca,Flex,95000.0,37900.0,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-comfortline-1-6-4p/13-14/1083621,Matozo Automóveis,"Rua Hayel Bon Faker, 1804 - Jardim Água Boa - Dourados / MS",2013,2014, MS,"Rua Hayel Bon Faker, 1804 ", Jardim Água Boa , Dourados ,vw-volkswagen
1049306,4519,Grand Siena Essence 1.6 16v,15/16,Branca,Flex,104290.0,37900.0,https://www.shopcar.com.br/veiculos/fiat/grand-siena-essence-1-6-16v/15-16/1049306,Emotors,"Av. Afonso Pena, 470 - Amambaí - Campo Grande / MS",2015,2016, MS,"Av. Afonso Pena, 470 ", Amambaí , Campo Grande ,fiat
