,best_match_score,vendedor,anuncio_id_olx,autos_has_gnv_kit,bairro,cidade,dealership_review,extra_key,gnv_kit,link_anuncio_olx,KM,owner_manual,Preco,Ano_Fabricacao,regiao,uf,Marca,Modelo,warranty,nome_marca,id_marca,nome_modelo,id_modelo
45,1.0924755186358612,Celso,1098350918,Não,Vila Carvalho,Campo Grande,Sim,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/t-cross-1-4-tsi-2020-highline-estado-de-0km-1098350918,34000,Sim,129000.0,2020,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT,Sim,VW - VolksWagen,59,T-Cross Highline 1.4 TSI Flex 16V 5p Aut,8644
46,1.0212231989675893,Inova,1099365874,Não,,Nova Andradina,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-2011-1-4-way-completo-1099365874,89000,Não,32000.0,2011,"Mato Grosso do Sul, MS",MS,FIAT,FIAT UNO WAY 1.4 EVO FIRE FLEX 8V 5P,Não,Fiat,21,UNO WAY 1.4 EVO Fire Flex 8V 5p,5244
48,1.054646950423104,Discautol Concessionária,1099508645,Não,Amambaí,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/virtus-1-0-200-tsi-1099508645,63558,Não,,2018,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,Não,VW - VolksWagen,59,VIRTUS Comfort. 200 TSI 1.0 Flex 12V Aut,8185
49,0.8944354716045422,Discautol Concessionária,1099509458,Não,Amambaí,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/up-1-0-mpi-1099509458,22187,Não,,2019,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,Não,VW - VolksWagen,59,up! take 1.0 Total Flex 12V 5p,6718
50,1.043679035312848,Marcio,1101010394,Não,Centro,Campo Grande,Não,Sim,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hilux-srv-2-8-td-at-4x4-segundo-dono-1101010394,248000,Sim,177000.0,2016,"Mato Grosso do Sul, MS",MS,TOYOTA,TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT.,Não,Toyota,56,Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,7406
51,0.856005346826795,erika.oliveira2310,1101176857,Não,Popular Nova,Corumbá,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/grand-santa-fe-2014-7-lugares-completa-1101176857,110000,Sim,95000.0,2014,"Mato Grosso do Sul, MS",MS,HYUNDAI,HYUNDAI GRAND SANTA FE  3.3 V6 4X4 TIPTRONIC,Não,Hyundai,26,Grand Santa Fé  3.3 V6 4X4 Tiptronic,6694
52,0.8888315393664394,Flavio Augusto,1101316481,Não,Vila Bandeirante,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/strada-ce-1-4-entrada-7mil-primeira-parcela-para-60-dias-ano-2010-1101316481,136580,Não,34800.0,2009,"Mato Grosso do Sul, MS",MS,FIAT,FIAT STRADA 1.4 MPI FIRE FLEX 8V CE,Sim,Fiat,21,Strada 1.4 mpi Fire Flex 8V CE,602
56,0.80096579340648,Ulsan Hyundai Seminovos,1102108465,Não,Centro,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-1-8-16v-evo-endurance-1102108465,13081,,104990.0,2021,"Mato Grosso do Sul, MS",MS,FIAT,FIAT TORO ENDURANCE 1.8 16V FLEX MEC.,,Fiat,21,Toro Endurance 1.8 16V Flex Mec.,8741
57,1.054646950423104,Localiza Seminovos Campo Grande (VCCGR),1103102204,Não,Chácara Cachoeira,Campo Grande,,,,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/virtus-2020-2021-1-0-200-tsi-comfortline-automatico-1103102204,54867,,84490.0,2021,"Mato Grosso do Sul, MS",MS,VW - VOLKSWAGEN,VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,,VW - VolksWagen,59,VIRTUS Comfort. 200 TSI 1.0 Flex 12V Aut,8185
58,0.9184189247420871,Vale Veículos,1103339860,Não,Centro,Campo Grande,Não,Não,Não,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-fire-4p-completo-e-unica-dona-1103339860,132000,Sim,34900.0,2015,"Mato Grosso do Sul, MS",MS,FIAT,FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 4P,Não,Fiat,21,Palio Celebration 1.0 Fire Flex 8V 4p,3966
