16,Gol 1.0 4p.,09/10,Branca,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/09-10/1229196,Federal Car,"Av. Bandeirantes, 2236 - Nova Bandeirantes - Campo Grande / MS"
17,Corsa Sedan Maxx 1.4,08/08,Cinza,Flex,Não disponível,"R$ 23.500,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-maxx-1-4/08-08/1232541,Weslley Goncalves Pereira da Silva,Campo Grande - MS
18,Ka 1.0,10/11,Prata,Flex,Não disponível,"R$ 23.900,00",https://www.shopcar.com.br/veiculos/ford/ka-1-0/10-11/1231561,Vale Veículos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclimação - Campo Grande / MS"
19,Fiesta Hatch 1.0 4p.,10/11,Cinza,Flex,Não disponível,"R$ 24.500,00",https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-1-0-4p/10-11/1228099,Ruan Gabriel Sanabria,Ponta Porã - MS
0,Celta LS 1.0 2p.,11/12,Prata,Flex,Não disponível,"R$ 24.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-ls-1-0-2p/11-12/1222144,MS Multimarcas,"Av. Cel. Antonino, 1505 - Cel. Antonino - Campo Grande / MS"
1,Corsa Sedan Classic LS 1.0,10/11,Prata,Flex,Não disponível,"R$ 24.900,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/10-11/1220274,Premium Auto Car,"Av. Ricardo Brandão, 778 - Itanhangá Park - Campo Grande / MS"
2,Fiesta Sedan 1.0,08/08,Prata,Flex,Não disponível,DETALHES,https://www.shopcar.com.br/veiculos/ford/fiesta-sedan-1-0/08-08/1230652,MS Multimarcas,"Av. Cel. Antonino, 1505 - Cel. Antonino - Campo Grande / MS"
3,Fox 1.0 4p.,07/08,Preta,Flex,Não disponível,"R$ 24.900,00",https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-0-4p/07-08/1215326,NR Veículos,"Av. Marechal Deodoro, 2365 - Guanandi - Campo Grande / MS"
4,Palio 1.0 Fire 4p.,06/07,Preta,Flex,Não disponível,"R$ 24.990,00",https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/06-07/1221103,BM Motors,"Avenida Presidente Ernesto Geisel, 6103 - Cabreuva - Campo Grande / MS"
5,Corsa Sedan Classic LS 1.0,11/12,Branca,Flex,Não disponível,"R$ 25.200,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/11-12/1221405,Paulo Masahiko Yabusame,Campo Grande - MS
6,Palio 1.0 Fire 4p.,08/08,Branca,Flex,Não disponível,"R$ 25.500,00",https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/08-08/1226731,BS Automóveis,"Rua Paraisópolis, 345 - Vila Santo Eugênio - Campo Grande / MS"
7,Corsa Sedan Classic LS 1.0,12/12,Preta,Flex,Não disponível,"R$ 25.800,00",https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/12-12/1222409,Marreco Veículos,"Rua Amazonas, 1237 - Centro - Campo Grande / MS"
