Id_Anuncio_ShopCar,Modelo,Cor, Combustível,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1122703,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D.,Branca,Diesel,54000.0,,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/19-20/1122703,Via Japan Motors,"Av. Eurico Soares Andrade, 1080 - Centro - Nova Andradina / MS",2019,2020, MS,"Av. Eurico Soares Andrade, 1080 ", Centro , Nova Andradina ,toyota,25/10/2021
1097210,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,,,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/18-18/1097210,R.A. Veículos,"Av. Weimar Gonçalves Torres, 4020 - Jardim Caramuru - Dourados / MS",2018,2018, MS,"Av. Weimar Gonçalves Torres, 4020 ", Jardim Caramuru , Dourados ,toyota,25/10/2021
1116865,Hilux SRX D4-D 2.8TDi 16v 4X4 C.D. A/T,Branca,Diesel,,,https://www.shopcar.com.br/veiculos/toyota/hilux-srx-d4-d-2-8tdi-16v-4x4-c-d/18-18/1116865,Badaró Veículos,"Av. 11 de Dezembro, 366 - Jardim Angélica - Jardim / MS",2018,2018, MS,"Av. 11 de Dezembro, 366 ", Jardim Angélica , Jardim ,toyota,25/10/2021
1120375,Hilux SW4 2.8D,Azul,Diesel,308000.0,,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-2-8d/94-95/1120375,Dwash Car,"Rua 14 de Julho, 624 - Vila Glória - Campo Grande / MS",1994,1995, MS,"Rua 14 de Julho, 624 ", Vila Glória , Campo Grande ,toyota,25/10/2021
1086862,Hilux SW4 SR 2.7 16v A/T,Cinza,Flex,,,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-sr-2-7-16v/15-15/1086862,Dakota Veículos,"Av. Nicolau Otano, 1185 - Centro - Amambaí / MS",2015,2015, MS,"Av. Nicolau Otano, 1185 ", Centro , Amambaí ,toyota,25/10/2021
1063151,Hilux SW4 SR 2.7 16v A/T,Branca,Flex,112000.0,,https://www.shopcar.com.br/veiculos/toyota/hilux-sw4-sr-2-7-16v/12-12/1063151,RV Veículos,"Av. Marcelino Pires, 4264 - Jardim Caramuru - Dourados / MS",2012,2012, MS,"Av. Marcelino Pires, 4264 ", Jardim Caramuru , Dourados ,toyota,25/10/2021
1075866,Golf Comfortline 1.6 16v A/T,Prata,Flex,89900.0,,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-comfortline-1-6-16v/15-16/1075866,Sergio Automóveis,"Rua Dr. Coutinho, 859 - Centro - Caarapó / MS",2015,2016, MS,"Rua Dr. Coutinho, 859 ", Centro , Caarapó ,vw-volkswagen,25/10/2021
1097234,Golf Flash 1.6,Cinza,Flex,130000.0,,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-flash-1-6/06-06/1097234,Seminovos Multimarcas,Av. Júlio de Castilho 1401 - Vila Espanhola - Campo Grande / MS,2006,2006, MS,Av. Júlio de Castilho 1401 , Vila Espanhola , Campo Grande ,vw-volkswagen,25/10/2021
1124478,Golf Sportline 1.6,Cinza,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-sportline-1-6/08-09/1124478,Adriano Veículos,"Rua Cuiabá, 1863 - Centro - Dourados / MS",2008,2009, MS,"Rua Cuiabá, 1863 ", Centro , Dourados ,vw-volkswagen,25/10/2021
1113920,Golf Sportline 2.0 A/T,Prata,Flex,81000.0,,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-sportline-2-0/12-13/1113920,Paulão Automóveis,"Rua Vital Brasil, 1625 - Capitão Vigário - Caarapó / MS",2012,2013, MS,"Rua Vital Brasil, 1625 ", Capitão Vigário , Caarapó ,vw-volkswagen,25/10/2021
1054511,Golf Sportline 2.0 A/T,Prata,Flex,89758.0,,https://www.shopcar.com.br/veiculos/vw-volkswagen/golf-sportline-2-0/11-12/1054511,Auto Cred Motors,"Av. Weimar Gonçalves Torres, 1200 - Centro - Dourados / MS",2011,2012, MS,"Av. Weimar Gonçalves Torres, 1200 ", Centro , Dourados ,vw-volkswagen,25/10/2021
