Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1144806,Pajero Full HPE 3.2TDi 16v 4x4 A/T,Branca,Diesel,129.0,377990.0,https://www.shopcar.com.br/veiculos/mitsubishi/pajero-full-hpe-3-2tdi-16v-4x4/20-21/1144806,Domenico Motors,"Av. Rodolfo Jos� Pinho, 539 - Jardim S�o Bento - Campo Grande / MS",2020,2021, MS,"Av. Rodolfo Jos� Pinho, 539 ", Jardim S�o Bento , Campo Grande ,mitsubishi,01/01/2022
1139850,Range R. Evoque R-Dynamic SE 2.0T 16v P250 A/T,Prata,Flex,12500.0,379000.0,https://www.shopcar.com.br/veiculos/land-rover/range-r-evoque-r-dynamic-se-2-0t-16v-p250/19-20/1139850,Seminovos Grupo Enzo,"Av. Costa e Silva, 405 - 1� andar - Vila Progresso - Campo Grande / MS",2019,2020, MS,"Av. Costa e Silva, 405 ", 1� andar , Vila Progresso - Campo Grande ,land-rover,01/01/2022
1135724,X4 xDrive30i 2.0T 16v A/T,Cinza,Gasolina,38000.0,384900.0,https://www.shopcar.com.br/veiculos/bmw/x4-xdrive30i-2-0t-16v/19-20/1135724,Yanko Select,"Av. Afonso Pena, 5786 - Ch�cara Cachoeira - Campo Grande / MS",2019,2020, MS,"Av. Afonso Pena, 5786 ", Ch�cara Cachoeira , Campo Grande ,bmw,01/01/2022
1108620,GLS 350 3.0CDi V6 24v 4Matic,Preta,Diesel,52000.0,385000.0,https://www.shopcar.com.br/veiculos/mercedes-benz/gls-350-3-0cdi-v6-24v-4matic/16-16/1108620,Tomit�o Carros e Neg�cios,"Av. Cear�, 2678 - Vila Rica - Campo Grande / MS",2016,2016, MS,"Av. Cear�, 2678 ", Vila Rica , Campo Grande ,mercedes-benz,01/01/2022
1138213,C3 Hatch Exclusive 1.4,Preta,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-4/09-09/1138213,Carro F�cil Multimarcas,"Av. Weimar Gon�alves Torres, 2700  - Centro - Dourados / MS",2009,2009, MS,"Av. Weimar Gon�alves Torres, 2700  ", Centro , Dourados ,citro-n,01/01/2022
1097196,C3 Hatch Exclusive 1.4,Prata,Flex,147000.0,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-4/08-08/1097196,Dois Irm�os Autom�veis,"Rua Rachid Neder, 401 - Monte Castelo - Campo Grande / MS",2008,2008, MS,"Rua Rachid Neder, 401 ", Monte Castelo , Campo Grande ,citro-n,01/01/2022
1111305,C3 Hatch GLX 1.4,Preta,Flex,139000.0,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-glx-1-4/11-11/1111305,KV Ve�culos,"R. Alegrete, 2139 - Cel. Antonino - Campo Grande / MS",2011,2011, MS,"R. Alegrete, 2139 ", Cel. Antonino , Campo Grande ,citro-n,01/01/2022
1077902,C3 Hatch GLX 1.4,Preta,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-glx-1-4/06-07/1077902,Via Car,"Av Bandeirantes, 2991 - Vila Bandeirantes - Campo Grande / MS",2006,2007, MS,"Av Bandeirantes, 2991 ", Vila Bandeirantes , Campo Grande ,citro-n,01/01/2022
1132057,C3 Hatch Tendance 1.5,Vinho,Flex,86000.0,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-tendance-1-5/12-13/1132057,Central Ve�culos,"Rua Am�rica, 810 - Centro - Corumb� / MS",2012,2013, MS,"Rua Am�rica, 810 ", Centro , Corumb� ,citro-n,01/01/2022
1113383,C3 Picasso Exclusive 1.6 16v,Branca,Flex,88000.0,,https://www.shopcar.com.br/veiculos/citro-n/c3-picasso-exclusive-1-6-16v/12-12/1113383,Automais Ve�culos,"Av. Tamandar�, 1294 - Vila Planalto - Campo Grande / MS",2012,2012, MS,"Av. Tamandar�, 1294 ", Vila Planalto , Campo Grande ,citro-n,01/01/2022
